name,publisher,source_owner,theme,geography,granularity,access,cadence,formats,key_fields,records,updated,housing_relevant,queryable,capabilities,priority,current_use_state,desired_use_state,url,item_page,notes
Fire Protection Service & Fire Stations,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2014-07-28,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Fire/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=3729d70d983f4d11914957f711624c5e,Fire Protection Service & Fire Stations for the 3+ county Miami Valley region
First Suburb Members,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2014-09-08,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FirstSuburbMembers/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=c8d3be104f6a4376960a42d2ba9dd45d,Members of the First Suburbs consortium
Flood Hazard,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),ownership/transfers,Miami Valley region,parcel,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-01-07,Y,Y,"Query,Extract",,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Flood_Hazard/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=8ef03b90c86d4ffd8934991a461490ee,"The FIRM is the basis for floodplain management, mitigation, and insurance activities for the National Flood Insurance Program (NFIP).  Insurance applications include enforcement of the mandatory purc"
Floodplain,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-05-01,,N,"Map,TilesOnly,Tilemap",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Floodplain/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=30e5b5408314448d9cbff496aa18a7f9,Summary
Focal_Parks,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Focal_Parks/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=e94c7e15b0c349f2bfd74f5279f7c51a,
Food_Insecurity_ZIP,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Food_Insecurity_ZIP/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=6db8475592e344c3b1f8e16cc0d7e5d3,
Food_Insecurity_ZIP_Clip,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-26,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Food_Insecurity_ZIP_Clip/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=5820d74891114c9ca7bb02134115b5e5,
FoodInsecurityTractUpdated,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),demographics,Miami Valley region,tract,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-19,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FoodInsecurityTractUpdated/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=fbff7b3fcbe14eee8f6f03e69a9b2c8c,2020 Tracts for the MVRPC region.
FoodSysInfo_WFL1,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-03-26,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FoodSysInfo_WFL1/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=6652bd69e22e4c4d896c6099baf1fb8a,
FoodSystems_WFL1,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-03-14,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FoodSystems_WFL1/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=9e437d5c275645318f9c5acdc845b852,Food Systems data for 7 county region in Miami Valley to examine food systems and food insecurity 
FoodSystemsLILAInfo_WFL1,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-03-19,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FoodSystemsLILAInfo_WFL1/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=879594de8c2f464d9774d36bc01dc8a0,map with layer file depicting food atlas LILA info
Forested Areas,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-08-22,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/ForestedAreas/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=c89c114daa4543659200b6bcd1e574b6,Forested Areas for the 8-county Miami Valley region
FPA Boundaries and Prescriptions,MVRPC (regional),mlindsay_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2022-05-12,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FPAgdb/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=1e1c49e6632c4a2dabf48df7aaee6bbb,Areawide 208/201 Facilities Planning Area (FPA) information
Freight Centers,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-12-03,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Freight_WEB/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=d718da27efaf48ebb4dd62a9e3de4cf2,Airports and railways important to freight network in the Miami Valley
FreqPhysDistressTractUpdated,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),demographics,Miami Valley region,tract,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-19,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FreqPhysDistressTractUpdated/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=34db1e4cfe3b4d14b86a41f2a6cc3dfa,2020 Tracts for the MVRPC region.
FrequentMentalDistressTractUpdated,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),demographics,Miami Valley region,tract,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-19,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FrequentMentalDistressTractUpdated/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=a5417cc05e0c40079e0fee1f5ee4abf5,2020 Tracts for the MVRPC region.
FromPiquaSidewalks (Properties Saved),MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),ownership/transfers,Miami Valley region,parcel,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-07-11,Y,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/SidewalksPiquaAndInventory/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=0651e7280f3446198d3d8cac1942e761,Sidewalk coverage for the study area provided by MCRPC Sidewalk inventory and City of Piqua's most recent dataset
Functionally Classified Roads,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-04-02,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/FuncClassRoads/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=617bdb7942294d719c21a081e5382c5b,Functionally classified roads for the MVRPC region.
Functionally Classified Streets for MCPH HEAL,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),geography/reference,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-06-30,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Functionally_Classified_Streets_for_MCPH_HEAL/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=84b7f49b8bff4f5b9919fe72b2ef0f2e,Piqua Area Functionally Classified Streets
"Future Land Use Pattern, 2040 Concentrated Development Vision",MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-07-02,,Y,"Query,Extract",,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/cdv/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=591be0c20cc34e388a7c093f577ec155,"Future land use pattern by regional Density/Diversity Index for Montgomery, Miami, Greene and Warren Counties; 2040 projection from the Going Places Concentrated Development Vision."
"Future Land Use Pattern, 2040 Concentrated Development Vision - protected areas",MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-07-02,,Y,"Query,Extract",,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/cdv_protected/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=dde38e8f66214518855b78f7ba38f440,"Protected areas for the future land use pattern by regional Density/Diversity Index for Montgomery, Miami, Greene and Warren Counties; 2040 projection from the Going Places Concentrated Development Vi"
Future_Plan_Inventory,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-24,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=533432a3742441bcbcba8d6569601093,
Future_Plan_Inventory_Darke,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-10,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_Darke/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=b389dd8a72c2490cb4be8e3951d9ef87,
Future_Plan_Inventory_DarkeCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_DarkeCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=effae84fd6564da9a1a8f1f41e8d0310,
Future_Plan_Inventory_GreeneCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_GreeneCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=85cf0824d0144bf9b2dddc2912c20ed2,
Future_Plan_Inventory_MiamiCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),affordability/tenure,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_MiamiCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=a9f7dd4313704d5ba40a7706bb256e4e,
Future_Plan_Inventory_MontgomeryCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_MontgomeryCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=dc2e1b2791f94ba4b0d0fe7f05a5f32d,
Future_Plan_Inventory_PrebleCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_PrebleCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=670e5d9cf7374356b0d73356d66d6a5c,
Future_Plan_Inventory_ShelbyCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_ShelbyCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=3d68f57e2fe0443b8421a3367a62719b,
Future_Plan_Inventory_WarrenCounty,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),zoning/land use,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2023-07-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Future_Plan_Inventory_WarrenCounty/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=24f0ccab4cbd4a9b8a8fc5e0552dbcf4,
GCPH Greene County Food Locations_WFL1,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-04-11,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GCPH_Greene_County_Food_Locations_WFL1/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=7ad8aae7553c45768fd855f384f72984,A map of food locations within Greene County.
GCPH_Countywide_food_for_HC,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,jurisdiction/county,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2026-07-06,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GCPH_Countywide_food_for_HC/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=250008854d544385b8277df95f2dcb14,
GCPHFairborn_food,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2024-04-11,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GCPHFairborn_food/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=3f86f46da5564c789f7971b2b06d377f,Food locations
General_Health_ZIP,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-13,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/General_Health_ZIP/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=0c9bf6a23f9e4640b022463d05da0519,
General_Health_ZIP_Clip,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-25,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/General_Health_ZIP_Clip/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=e7cf1e607da144edad8d8fd963073952,
GeneralHealthTractUpdated,MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),demographics,Miami Valley region,tract,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-02-19,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GeneralHealthTractUpdated/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=31f4ae906c114a3ea89f349ee69e2071,2020 Tracts for the MVRPC region.
Generalized Land Use (Properties Saved),MVRPC (regional),msimpson_MVRPC (msimpson_MVRPC),ownership/transfers,Miami Valley region,parcel,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2025-07-11,Y,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/Existing_Land_Use/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=ea620a49496942989b9abf3e88a5030a,
Georeferenced_Deeds,MVRPC (regional),kypolk (msimpson_MVRPC),ownership/transfers,Miami Valley region,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Deeds/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=7549f037f3df46f8995e8bf7919c60b0,A georeferenced PNG of Deeds Point.
Georeferenced_DeWeese,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_DeWeese/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=e263b76671fb4aa8904b21aa10eac92d,A georeferenced png of DeWeese MetroPark
Georeferenced_Island_MetroPark,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Island_MetroPark/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=0213f8111ffe4d30bb6c63300b2470c1,A georeferenced PNG of Island MetroPark.
Georeferenced_Kettering,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Kettering/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=59d923da428f43b094c923d376454aa7,A georeferenced PNG of Kettering Field.
Georeferenced_Riverscape,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Riverscape/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=2b50edb896df4445885ab5b68951cc1c,A georeferenced PNG of Riverscape MetroPark
Georeferenced_Riversedge,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Riversedge/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=1a8fdd29e8c54b1184548b94c4e5f6a2,A georeferenced PNG of Rivers Edge Park.
Georeferenced_Sunrise_Sunset,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Sunrise_Sunset/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=4d8f055f761a4cce9763bbb598981d22,This is a georeferenced PNG of Sunrise and Sunset Parks.
Georeferenced_Triangle,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Triangle/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=44da3bba160b4ec281f8ee110b40ce09,A georeferenced PNG of Triangle Park.
Georeferenced_Wesleyan,MVRPC (regional),kypolk (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2019-04-05,,N,"Map,TilesOnly",,,,https://tiles.arcgis.com/tiles/3TIUdMHOqnLBrZEH/arcgis/rest/services/Georeferenced_Wesleyan/MapServer,https://mvrpc.maps.arcgis.com/home/item.html?id=76cbd62c2ed3419c91af2f9517ed7a3a,A georeferenced PNG of Wesleyan MetroPark.
GIS_Activities_layer,MVRPC (regional),tharner@mvrpc.org (msimpson_MVRPC),,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2017-02-02,,Y,"Create,Delete,Query,Update,Editing",,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GIS_Activities_layer/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=9a62487b4e7443f6bd51d078253e4f9c,MVRPC GIS activities
GMR ADA Boat Ramps,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-02-14,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GMR_ADABoatRamps/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=f7700a5b6fb04f23b4acac52a87edb3f,ADA compliant boat ramps  within one mile along the 99 mile of the Great Miami Riverway
GMR Bike Access,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,address/point,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-02-12,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/BikeAccess/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=cbeab8c9d290439183abc820b80d2cc6,Bike Access points within 1 mile along the 99 mile Great Miami Riverway
GMR Bike Racks,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-02-12,,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GMRBikeRacks/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=c2aafa50700543788ef636c21b5a1f47,Bike racks within one mile along the 99 mile of the Great Miami Riverway
GMR Bike Rental,MVRPC (regional),kypolk (msimpson_MVRPC),affordability/tenure,Miami Valley region,,"Public — ArcGIS REST API, no auth",live service (verify),"ArcGIS FeatureServer/MapServer; GeoJSON, CSV, Shapefile export",,,2020-02-12,Y,Y,Query,,,,https://services.arcgis.com/3TIUdMHOqnLBrZEH/arcgis/rest/services/GMRBikeRental/FeatureServer,https://mvrpc.maps.arcgis.com/home/item.html?id=6280d908ccc64a7b89f97cbc8f50ee1e,Bike parking within one mile along the 99 mile of the Great Miami Riverway
